City,Type,Area,Price,Purpose,Location,Built in year,Electricity Backup,Floors,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Lawn or Garden,Luxury_Score
Karachi,House,500 Sq. Yd.,"PKR
18 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,1.0,6,7,2.0,3.0,,0
Karachi,House,14 Sq. Yd.,"PKR
3.8 Crore",For Sale,"Naya Nazimabad, Karachi, Sindh",2025.0,0.0,2.0,4,5,,1.0,,0
Karachi,House,120 Sq. Yd.,"PKR
3.45 Crore",For Sale,"Naya Nazimabad, Karachi, Sindh",2025.0,0.0,2.0,4,5,1.0,1.0,,0
Karachi,Flat,122 Sq. Yd.,"PKR
85 Lakh",For Sale,"Bahria Town Karachi, Karachi, Sindh",,0.0,,2,2,,,,0
Karachi,House,120 Sq. Yd.,"PKR
2.3 Crore",For Sale,"Scheme 33, Karachi, Sindh",,0.0,,4,4,,,,0
Karachi,House,80 Sq. Yd.,"PKR
2.65 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,0.0,,11,7,,,,0
Karachi,Flat,96 Sq. Yd.,"PKR
70 Lakh",For Sale,"Gadap Town, Karachi, Sindh",2.0,0.0,,2,2,1.0,1.0,,0
Karachi,Upper Portion,240 Sq. Yd.,"PKR
3.3 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",,0.0,,3,3,,1.0,,0
Karachi,Flat,133 Sq. Yd.,"PKR
3.8 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,,1,3,1.0,1.0,,0
Karachi,Flat,294 Sq. Yd.,"PKR
10 Crore",For Sale,"DHA Defence, Karachi, Sindh",2022.0,0.0,,4,6,1.0,1.0,,0
Karachi,House,500 Sq. Yd.,"PKR
12.5 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2016.0,0.0,,6,6,,,,0
Karachi,House,152 Sq. Yd.,"PKR
1.65 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2020.0,0.0,2.0,3,3,1.0,1.0,,0
Karachi,Flat,200 Sq. Yd.,"PKR
3.6 Crore",For Sale,"Dalmia Cement Factory Road, Karachi, Sindh",2024.0,0.0,,3,4,,1.0,,0
Karachi,Flat,210 Sq. Yd.,"PKR
2.7 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2025.0,0.0,,3,3,,1.0,,0
Karachi,Flat,230 Sq. Yd.,"PKR
3 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2024.0,0.0,,3,3,1.0,1.0,,0
